date5,m_consumerd
2020-10-07,258.0852789428999
2020-10-08,262.19801465520317
2020-10-09,263.4734428333786
2020-10-12,265.3190305637863
2020-10-13,265.83801843535224
2020-10-14,263.0343577636863
2020-10-15,265.3851035855851
2020-10-16,262.8830331046626
2020-10-19,258.535147316051
2020-10-20,262.551616938609
2020-10-21,259.70285425546035
2020-10-22,258.302155116819
2020-10-23,262.29953792859925
2020-10-26,254.15590351932454
2020-10-27,251.4138671227221
2020-10-28,245.167922082937
2020-10-29,246.11106040342798
2020-10-30,243.2272497033173
2020-11-02,246.0518862256464
2020-11-03,252.21686124801636
2020-11-04,257.04739540028123
2020-11-05,261.3744626854951
2020-11-06,259.7077165189779
2020-11-09,262.29299198906375
2020-11-10,263.6591379237625
2020-11-11,267.0379859456476
2020-11-12,261.69416836072816
2020-11-13,267.023084388589
2020-11-16,270.8271328458246
2020-11-17,268.9761929871901
2020-11-18,268.76695163294954
2020-11-19,267.900509906265
2020-11-20,265.2523660299913
2020-11-23,267.5838882698203
2020-11-24,270.2768402279548
2020-11-25,268.3956353169567
2020-11-27,269.37971912240084
2020-11-30,265.79891795032427
2020-12-01,268.34888908098327
2020-12-02,265.1359428369774
2020-12-03,268.7374457593234
2020-12-04,270.1260792894183
2020-12-07,270.5646518131472
2020-12-08,267.1432382835532
2020-12-09,269.5822707302165
2020-12-10,268.9255997099966
2020-12-11,268.12371038940717
2020-12-14,268.2863427108189
2020-12-15,271.73174976852704
2020-12-16,274.09153670185015
2020-12-17,278.5975331360439
2020-12-18,278.80737383860463
2020-12-21,277.80090323934013
2020-12-22,277.1219714182728
2020-12-23,277.18026108111974
2020-12-24,278.6052453203021
2020-12-28,278.19972446729554
2020-12-29,277.33094663440056
2020-12-30,278.2369056017894
2020-12-31,278.1594234682479
2021-01-04,273.0385767738774
2021-01-05,274.4096875910489
2021-01-06,277.7354018643217
2021-01-07,281.10901524885645
2021-01-08,282.0136954109624
2021-01-11,281.94919033770293
2021-01-12,283.1315771678709
2021-01-13,281.49811919230336
2021-01-14,281.36292592534477
2021-01-15,279.7760251603037
2021-01-19,284.2421692902187
2021-01-20,288.51363023721945
2021-01-21,291.7803951479354
2021-01-22,290.39970783017714
2021-01-25,289.3828838816229
2021-01-26,288.3185538345913
2021-01-27,280.90691785992317
2021-01-28,284.93680568911
2021-01-29,278.7391175863878
2021-02-01,284.0721386783528
2021-02-02,288.4518164508748
2021-02-03,287.478398089139
2021-02-04,291.29793931853095
2021-02-05,295.98475600188635
2021-02-08,298.7329079969874
2021-02-09,298.1105656893748
2021-02-10,298.61511856654903
2021-02-11,297.0752836983159
2021-02-12,296.8595411192696
2021-02-16,296.3316265142189
2021-02-17,298.3262459197134
2021-02-18,299.2260196074
2021-02-19,300.7825189626442
2021-02-22,299.09049025121726
2021-02-23,299.80200204309426
2021-02-24,303.50879588217106
2021-02-25,291.10399908389684
2021-02-26,294.15964394695357
2021-03-01,298.6315291422718
2021-03-02,299.18327340539895
2021-03-03,292.79609723361034
2021-03-04,287.15135599532215
2021-03-05,295.0541568432214
2021-03-08,299.6203441259996
2021-03-09,302.14027770060414
2021-03-10,305.49805653770017
2021-03-11,303.86131216445057
2021-03-12,304.2859566526593
2021-03-15,310.10037186460676
2021-03-16,306.8712823076068
2021-03-17,309.9535845090758
2021-03-18,301.0569047208102
2021-03-19,301.07272360459814
2021-03-22,301.9402675628662
2021-03-23,298.6345860643207
2021-03-24,298.4779078105711
2021-03-25,302.84248193704855
2021-03-26,309.6000896129968
2021-03-29,307.7302574661543
2021-03-30,308.85507984881133
2021-03-31,308.6547537749668
2021-04-01,312.7476838669687
2021-04-05,316.0339122988143
2021-04-06,318.32528011753874
2021-04-07,316.33081337191027
2021-04-08,317.0483974960615
2021-04-09,322.3373300444405
2021-04-12,321.91677037724907
2021-04-13,320.60213666592006
2021-04-14,320.9157713044365
2021-04-15,322.1584124655094
2021-04-16,327.38540368709926
2021-04-19,326.49315677498873
2021-04-20,321.1133878455972
2021-04-21,319.9511896889165
2021-04-22,319.7584832749277
2021-04-23,322.48751539554235
2021-04-26,324.0849818283657
2021-04-27,326.26478085427914
2021-04-28,327.4371171447466
2021-04-29,329.2042888785308
2021-04-30,328.0798134533864
2021-05-03,330.44930287127227
2021-05-04,328.1232737235303
2021-05-05,327.69418628260775
2021-05-06,325.62543255428096
2021-05-07,330.6680436044369
2021-05-10,328.4018788967492
2021-05-11,321.0623018156807
2021-05-12,309.6295532550452
2021-05-13,316.03874724765996
2021-05-14,320.5534830813138
2021-05-17,317.385152996711
2021-05-18,312.7293748495714
2021-05-19,310.66849494430255
2021-05-20,313.07268338833217
2021-05-21,310.6090431933133
2021-05-24,311.83472946454896
2021-05-25,315.0810051864048
2021-05-26,316.34666621010257
2021-05-27,317.53267858613214
2021-05-28,318.8543219476376
2021-06-01,317.3205996099508
2021-06-02,315.6100798912768
2021-06-03,312.054370250342
2021-06-04,313.826052467778
2021-06-07,313.6254568279914
2021-06-08,315.815136891491
2021-06-09,313.61602829987146
2021-06-10,309.71992379314497
2021-06-11,312.74373414381495
2021-06-14,312.16789243806085
2021-06-15,312.52166348583296
2021-06-16,310.80165683098556
2021-06-17,311.17013850302067
2021-06-18,310.9366494664606
2021-06-21,315.224633576735
2021-06-22,316.8709992822611
2021-06-23,316.53881661397105
2021-06-24,318.933332479225
2021-06-25,322.1483269997363
2021-06-28,321.0507799544424
2021-06-29,323.07236360154064
2021-06-30,324.2862961787098
2021-07-01,328.8817246275128
2021-07-02,331.2941221920949
2021-07-06,331.05392733160056
2021-07-07,330.7337987467928
2021-07-08,326.20260370002603
2021-07-09,330.0172132815955
2021-07-12,329.2779093328512
2021-07-13,324.1677998956644
2021-07-14,325.3685384246538
2021-07-15,323.47988663079605
2021-07-16,320.8030166805915
2021-07-19,316.32609392562
2021-07-20,323.1907729742662
2021-07-21,328.98850417586993
2021-07-22,333.05262212933235
2021-07-23,338.2232277168418
2021-07-26,337.15881649953013
2021-07-27,338.7377863110236
2021-07-28,336.16007320835905
2021-07-29,341.45751794779073
2021-07-30,339.4868952373289
2021-08-02,339.8847069290449
2021-08-03,342.82318068450354
2021-08-04,339.42558711429814
2021-08-05,343.77927152165825
2021-08-06,340.3317549723499
2021-08-09,337.59757774281053
2021-08-10,340.3860624961133
2021-08-11,343.4627817801709
2021-08-12,342.5573617647279
2021-08-13,341.97931309466094
2021-08-16,340.8856014035783
2021-08-17,334.81569934341144
2021-08-18,333.63990416616764
2021-08-19,333.26888865344927
2021-08-20,336.72819009816874
2021-08-23,337.88330648530206
2021-08-24,341.34465881563585
2021-08-25,343.91114776539354
2021-08-26,340.4082178619673
2021-08-27,342.0082551668275
2021-08-30,341.4813394186632
2021-08-31,342.4076851718831
2021-09-01,341.84734907690085
2021-09-02,340.9064695970067
2021-09-03,340.57162515172416
2021-09-07,340.08847215040674
2021-09-08,339.4058532894782
2021-09-09,340.6559110497529
2021-09-10,340.20655475472506
2021-09-13,338.2188449355791
2021-09-14,336.3461701195195
2021-09-15,338.65039632905206
2021-09-16,341.22969285497123
2021-09-17,340.5040038846574
2021-09-20,336.2521712285168
2021-09-21,337.21306588514796
2021-09-22,342.969280350883
2021-09-23,345.6022242600063
2021-09-24,345.6650075552599
2021-09-27,345.79585397468423
2021-09-28,339.6118840991326
2021-09-29,340.700183274611
2021-09-30,333.2449825034951
2021-10-01,335.5956919148283
2021-10-04,333.80428827033853
2021-10-05,334.8210091141035
2021-10-06,335.9932693805335
2021-10-07,340.1080974722808
2021-10-08,338.1919882252531
2021-10-11,336.7942191789735
2021-10-12,338.59014896176893
2021-10-13,339.28210630956687
2021-10-14,345.49140843805276
2021-10-15,346.15448935526723
2021-10-18,348.53378123157427
2021-10-19,347.1425305672412
2021-10-20,345.9611376276556
2021-10-21,347.5241749241667
2021-10-22,346.23446630082043
2021-10-25,347.31089793511154
2021-10-26,346.88425701069383
2021-10-27,345.5196257717204
2021-10-28,346.9737650493406
2021-10-29,347.0703038269619
2021-11-01,350.56504904549075
2021-11-02,348.9340908842267
2021-11-03,352.0425561149165
2021-11-04,355.34571802391196
2021-11-05,360.85706260969056
2021-11-08,360.69097781631183
2021-11-09,363.7890033362047
2021-11-10,359.911284860575
2021-11-11,359.6869899101977
2021-11-12,363.38177166344985
2021-11-15,363.1878393281181
2021-11-16,362.1181207332971
2021-11-17,360.7934614577383
2021-11-18,359.8563754603548
2021-11-19,360.2136354986227
2021-11-22,358.6498632251092
2021-11-23,361.24835482183494
2021-11-24,361.26191164412586
2021-11-26,351.76090020953484
2021-11-29,353.26509846381424
2021-11-30,346.6331829574873
2021-12-01,345.93719223310364
2021-12-02,355.7482408487572
