date1,m_industrial
2021-10-15,168.0669613400021
2021-10-18,168.58731050749083
2021-10-19,169.7773233619896
2021-10-20,170.66526673291182
2021-10-21,171.1204341424478
2021-10-22,171.7831425795684
2021-10-25,171.9804822818653
2021-10-26,170.40232439298887
2021-10-27,168.38440423398404
2021-10-28,170.38267470694876
2021-10-29,171.04469523558745
2021-11-01,171.7576996313559
2021-11-02,172.250638936017
2021-11-03,171.68406032871556
2021-11-04,172.90828684214
2021-11-05,174.05083615071064
2021-11-08,174.76596992080277
2021-11-09,175.1089780910595
2021-11-10,173.96752140973067
2021-11-11,173.46078980935587
2021-11-12,174.84128900476404
2021-11-15,174.8762649329933
2021-11-16,175.55813534195357
2021-11-17,174.75914916476688
2021-11-18,174.25071113174027
2021-11-19,173.69886274595518
2021-11-22,174.26881547876306
2021-11-23,174.25436679736987
2021-11-24,174.18079677787986
2021-11-26,169.43010219367775
2021-11-29,170.38920051987105
2021-11-30,165.96905813990412
2021-12-01,163.4275834109332
2021-12-02,167.97706787006274
2021-12-03,167.63597967817978
2021-12-06,169.6668434658566
2021-12-07,171.4832181930542
2021-12-08,172.09468465238004
2021-12-09,171.42053044808878
2021-12-10,172.16571908383756
2021-12-13,170.87527973587447
2021-12-14,169.21911474176355
2021-12-15,171.0278305105261
2021-12-16,170.3228514130051
2021-12-17,167.4263821421443
2021-12-20,164.8316536207457
2021-12-21,168.06103729557347
2021-12-22,168.66126849200273
2021-12-23,170.56168352591024
2021-12-27,172.64871767404918
2021-12-28,173.32771350241995
2021-12-29,173.76882823737893
2021-12-30,173.03623109250455
2021-12-31,173.8117851566624
2022-01-03,171.80711797765784
2022-01-04,174.69085523244496
2022-01-05,172.009659586726
2022-01-06,172.5384934399579
2022-01-07,171.65256879136368
2022-01-10,170.2453787520125
2022-01-11,171.45928284928604
2022-01-12,171.7318394119675
2022-01-13,171.35713582425504
2022-01-14,170.09530461801066
2022-01-18,168.0097601864789
2022-01-19,166.45375506942338
2022-01-20,164.41442378791604
2022-01-21,162.75095524659028
2022-01-24,164.40441822361302
2022-01-25,162.29359495317613
2022-01-26,160.8108801712861
2022-01-27,158.89959893355498
2022-01-28,160.5765044366991
2022-01-31,162.5400689099286
2022-02-01,163.7789289629137
2022-02-02,164.59017941758438
2022-02-03,162.19602077071733
2022-02-04,160.34894876222353
2022-02-07,160.36841485307022
2022-02-08,162.13357453732877
2022-02-09,164.67178105019235
2022-02-10,161.5000163413383
